ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.5,177.66,302.6,2.24,29.54,170.66,1.48,26.37,0.64,1.0
7.81,381.9,590.71,1.62,91.97,346.9,3.45,51.97,1.18,
7.08,223.69,247.07,2.55,58.05,158.1,1.29,52.09,1.66,1.0
8.44,562.34,844.03,0.36,59.67,548.94,1.1,7.35,0.18,1.0
7.08,184.11,425.13,1.65,3.36,280.71,2.34,39.81,9.66,
5.83,88.34,128.57,1.43,83.74,74.64,0.31,14.97,0.5,
7.09,88.33,85.82,1.66,51.95,51.77,0.32,22.1,0.09,1.0
6.63,268.84,396.49,,68.81,265.07,1.02,4.63,0.03,1.0
7.18,121.72,255.31,4.02,46.37,186.76,2.14,53.45,1.01,
7.19,411.39,442.8,,55.2,248.72,0.96,,0.38,1.0
8.36,172.93,394.65,2.48,14.51,249.14,3.77,27.76,0.42,1.0
7.96,117.1,285.43,0.71,43.88,189.81,0.25,8.62,12.63,
7.61,90.06,130.64,0.76,33.2,66.56,1.75,16.02,0.7,1.0
7.4,111.84,10.0,2.14,21.78,41.12,2.62,28.69,16.14,
6.55,84.61,210.7,2.69,55.38,124.24,0.56,23.97,0.48,1.0
5.66,269.48,471.28,0.92,64.54,305.51,3.27,18.57,0.32,
7.49,259.56,342.82,0.89,60.03,233.95,0.23,26.11,12.44,
8.04,29.62,50.85,0.71,45.91,21.23,3.05,3.98,0.37,1.0
7.31,184.05,334.64,2.21,66.44,180.58,2.33,49.85,1.43,1.0
6.97,254.52,377.06,0.95,59.69,236.52,0.07,22.98,0.22,1.0
7.77,87.56,123.23,3.29,53.9,100.69,0.74,38.79,6.07,
7.33,249.97,330.75,0.85,56.65,208.25,0.75,6.21,1.04,1.0
8.75,251.56,311.64,2.54,97.32,185.64,0.06,35.0,0.44,1.0
8.39,58.19,71.41,3.54,1.8,64.93,0.04,51.32,0.22,1.0
8.17,237.52,371.56,2.07,37.26,234.9,0.01,6.65,0.24,1.0
8.01,258.0,412.16,0.21,63.53,257.7,0.74,,0.74,1.0
6.37,334.42,516.61,2.4,,338.79,0.62,30.46,12.95,
7.93,309.21,510.76,1.75,105.3,347.41,2.82,45.21,0.26,1.0
7.7,14.65,24.47,1.96,60.19,63.54,0.42,31.64,0.51,1.0
3.41,127.29,112.43,3.59,88.28,89.63,1.07,45.81,0.66,
7.79,317.61,403.01,2.05,94.79,285.15,0.01,26.39,0.01,
7.76,166.28,402.76,2.51,66.5,251.67,1.09,41.95,0.05,1.0
9.56,242.31,403.01,1.34,,241.44,2.45,16.29,0.05,
7.34,607.89,1070.55,1.72,55.91,697.1,0.44,19.94,0.13,
8.15,232.96,414.18,3.12,58.48,271.36,0.38,41.32,0.28,1.0
7.02,336.39,527.11,2.14,6.53,321.05,0.98,36.84,5.36,
8.03,327.95,490.8,2.29,,315.51,0.4,20.46,0.22,1.0
8.15,252.56,430.28,3.0,68.47,287.67,0.51,34.15,0.01,1.0
7.69,46.5,236.95,3.63,0.03,161.22,0.32,45.18,10.23,
8.74,222.82,451.79,0.84,132.46,303.75,0.42,1.62,2.85,1.0
6.69,132.09,145.43,1.51,60.53,100.35,1.14,14.39,0.21,1.0
7.01,14.56,252.64,3.46,104.06,154.07,2.56,60.84,1.63,1.0
7.57,181.13,202.93,3.99,51.25,121.62,0.87,70.25,0.05,1.0
8.1,215.89,316.37,1.74,80.06,181.66,0.01,28.79,0.1,1.0
7.54,523.57,762.93,2.27,52.13,531.6,0.31,36.22,0.64,1.0
8.43,10.0,10.0,2.35,90.22,6.77,3.04,28.57,0.35,1.0
6.87,159.28,437.25,2.23,,279.72,2.41,12.7,0.72,1.0
6.49,27.52,10.0,2.25,85.53,5.0,0.12,35.15,1.0,1.0
7.65,187.1,205.61,3.36,76.75,192.36,2.39,53.45,0.14,1.0
7.34,356.91,517.79,0.2,43.83,315.1,3.34,,0.57,1.0
7.83,154.58,312.86,1.34,33.63,194.78,0.39,9.41,0.47,
7.38,55.01,84.45,2.64,38.04,63.21,1.21,26.85,0.99,1.0
7.13,67.52,156.94,1.5,61.31,114.01,0.82,24.23,0.28,1.0
7.34,220.59,435.92,2.29,98.56,302.51,0.41,35.12,0.03,1.0
7.42,140.13,153.93,3.09,28.63,136.2,0.17,58.24,0.43,1.0
7.16,146.1,343.29,3.6,,233.26,0.46,45.95,1.6,1.0
7.24,140.78,309.11,2.28,149.38,179.8,2.63,31.28,0.01,1.0
7.08,46.61,169.68,3.49,76.86,105.15,1.67,52.51,0.14,1.0
8.09,362.76,728.79,2.14,34.35,479.87,0.4,26.63,0.19,1.0
7.56,263.39,426.78,1.7,97.55,318.77,0.79,33.84,0.73,1.0
9.21,64.08,10.0,0.46,87.35,5.0,0.52,19.23,0.2,
7.53,193.13,337.29,1.0,69.69,243.29,0.63,3.89,0.14,1.0
6.96,25.3,167.64,2.0,30.92,112.57,1.43,25.49,0.52,1.0
9.54,324.29,470.49,2.03,76.69,322.57,0.78,43.63,12.17,
7.73,169.18,141.5,2.23,93.58,89.93,0.2,36.67,0.09,
8.19,133.92,277.05,3.84,,163.24,0.31,58.72,0.26,1.0
7.87,216.67,401.0,2.75,58.98,275.67,0.84,44.68,0.22,1.0
7.9,309.67,473.15,2.8,61.93,320.64,1.18,48.63,0.21,1.0
7.83,117.06,59.94,3.83,60.64,58.4,0.71,61.31,0.06,1.0
6.52,113.87,233.1,1.64,51.85,151.25,0.97,26.79,0.22,1.0
7.69,56.38,205.01,1.49,97.44,121.26,1.56,22.46,0.8,1.0
6.34,133.17,169.33,3.22,41.55,78.89,0.79,61.82,14.67,
7.26,431.81,653.09,2.49,49.89,440.9,3.78,34.62,0.44,1.0
6.82,228.9,381.0,1.96,62.63,256.13,0.27,29.35,12.59,
7.69,10.0,47.82,1.94,42.88,11.77,2.52,44.61,0.04,1.0
7.67,339.86,483.57,1.83,,303.55,0.28,30.68,1.06,1.0
7.78,461.06,724.43,1.9,58.57,461.55,0.76,27.82,0.2,1.0
7.63,265.47,506.49,2.0,59.02,299.56,0.61,36.27,0.22,1.0
6.91,10.0,10.0,1.7,35.39,5.0,0.47,27.81,1.05,1.0
7.19,54.31,203.15,2.56,44.71,109.37,3.29,30.94,0.62,1.0
8.14,366.32,553.38,2.75,,351.45,0.32,43.65,0.71,1.0
8.25,81.97,158.47,1.44,98.34,88.23,1.12,13.44,0.57,1.0
6.48,211.47,388.76,2.9,86.04,220.16,1.63,61.81,0.06,1.0
6.18,271.31,454.93,0.73,,336.15,0.22,13.32,1.58,1.0
6.82,70.78,114.61,2.5,22.98,99.55,3.62,28.17,1.2,1.0
5.23,217.6,288.09,2.55,107.94,171.68,0.79,34.38,0.13,
8.37,35.55,10.0,1.92,3.81,11.95,2.46,36.34,7.28,
6.66,49.25,95.12,2.06,69.14,70.18,1.09,19.95,0.26,1.0
7.65,187.88,249.49,1.77,30.32,185.99,1.05,53.7,0.58,1.0
8.87,50.3,50.44,1.49,66.41,16.42,0.42,7.83,0.09,1.0
7.73,354.56,626.48,2.0,52.01,429.06,1.47,39.26,0.39,1.0
8.54,10.0,13.97,1.45,38.67,5.0,0.03,16.94,0.07,1.0
8.2,119.78,211.99,3.14,65.54,111.08,0.81,39.0,18.98,
6.67,220.95,326.15,,30.28,226.48,0.03,5.38,0.14,1.0
7.25,334.6,588.25,1.87,,408.18,0.37,23.44,0.3,1.0
7.43,10.0,12.83,0.1,12.89,60.1,0.1,17.4,0.55,1.0
7.48,418.02,532.63,0.94,8.09,322.22,2.43,0.03,1.05,1.0
8.13,228.21,302.05,1.42,,210.31,0.99,26.97,0.09,1.0
7.73,24.19,103.7,3.34,64.78,59.21,1.1,47.34,1.12,1.0
5.05,264.0,392.42,3.15,43.09,270.74,1.9,50.27,0.25,
6.35,209.8,339.81,2.07,64.16,191.47,1.32,36.23,0.93,1.0
5.65,127.55,179.96,2.06,70.83,91.72,0.13,13.64,14.75,1.0
7.54,195.24,313.96,3.04,80.26,188.56,0.96,47.9,0.99,1.0
7.59,193.24,222.94,3.13,66.28,146.49,3.82,57.86,0.54,1.0
7.63,210.9,322.7,1.43,10.82,196.94,0.24,26.04,0.36,1.0
6.63,256.35,432.43,2.67,73.18,294.26,0.97,36.4,0.19,1.0
5.48,422.43,617.2,1.04,58.87,421.72,0.83,1.52,1.74,
7.97,43.13,52.44,1.61,137.6,46.08,0.5,29.24,0.81,1.0
6.4,442.04,726.61,2.59,50.32,504.67,3.09,57.67,0.24,1.0
6.23,21.7,10.0,1.34,65.32,14.82,0.44,26.75,9.75,
7.4,157.11,269.64,1.65,46.21,150.93,0.1,36.25,0.76,1.0
8.83,251.06,417.66,0.34,51.96,298.75,3.28,14.45,2.3,1.0
8.76,184.38,356.2,2.45,49.26,219.43,1.31,32.83,19.49,
7.85,67.72,175.46,1.12,32.62,132.26,0.42,17.67,1.24,1.0
3.89,105.1,258.38,1.18,57.09,199.42,0.33,26.37,0.07,
8.11,51.24,201.4,3.36,74.87,140.04,2.63,34.53,1.52,1.0
7.04,65.29,182.13,1.31,33.22,88.46,0.32,26.21,0.68,1.0
6.79,273.24,469.92,2.75,83.42,287.08,0.77,53.88,0.21,1.0
5.68,228.0,371.4,3.1,78.57,267.87,0.24,45.97,0.18,
7.48,83.29,161.42,2.92,14.79,101.54,5.34,51.9,0.52,1.0
6.9,170.17,479.92,1.75,11.45,313.54,1.47,20.72,0.45,1.0
7.48,295.61,361.46,1.57,67.93,250.13,0.84,23.97,1.26,1.0
5.56,331.87,462.57,1.09,26.5,314.6,1.37,13.57,0.73,
7.54,277.84,425.93,0.24,8.17,282.43,2.48,8.18,0.39,1.0
5.46,175.9,134.2,2.77,118.68,83.06,3.3,40.54,1.31,
8.27,63.91,187.96,2.68,11.35,115.92,1.54,23.4,0.45,1.0
7.82,364.06,449.46,2.48,,309.31,1.89,29.97,0.95,1.0
7.18,204.98,422.07,,18.65,285.42,0.51,19.43,0.92,1.0
7.85,189.43,295.82,1.82,59.27,187.14,0.5,33.02,1.26,1.0
3.73,130.39,323.47,2.63,52.94,231.89,1.65,18.46,0.03,
7.46,334.05,555.53,3.29,125.49,358.52,1.43,61.38,0.44,1.0
8.04,128.32,181.69,2.3,19.26,101.06,2.31,22.96,0.32,1.0
4.92,237.92,409.42,2.19,59.45,250.94,0.14,41.84,0.34,
7.04,191.43,259.56,1.32,95.14,149.14,1.17,32.74,0.31,1.0
7.38,158.83,256.46,2.38,23.64,161.25,1.04,36.7,18.24,
7.24,285.73,519.76,1.76,78.15,362.52,1.6,16.48,0.19,1.0
8.57,250.71,465.08,1.27,,286.2,0.02,11.91,7.15,
6.5,318.17,462.7,0.84,120.35,304.53,1.75,18.93,0.11,1.0
6.9,303.97,561.1,1.05,89.79,351.58,0.4,4.46,0.14,1.0
5.87,228.29,304.2,2.32,22.77,192.52,1.16,29.05,0.54,
8.61,322.97,436.39,0.61,83.19,253.45,0.96,14.31,0.06,1.0
7.2,59.33,237.95,1.71,102.53,150.25,0.58,19.08,0.1,1.0
3.55,275.55,364.83,3.31,,233.27,1.37,63.82,0.38,
7.36,267.4,273.97,0.57,26.0,188.89,3.25,,0.02,1.0
7.91,204.24,319.4,2.45,103.84,212.08,0.39,3.86,0.07,1.0
7.68,281.37,419.03,2.55,52.7,248.4,1.38,30.43,1.0,1.0
9.52,133.66,136.36,1.71,67.45,110.32,0.38,28.73,14.83,
7.76,417.31,718.48,2.62,52.81,471.22,1.87,47.97,0.21,1.0
7.03,68.39,98.8,1.81,85.66,68.19,0.57,23.1,0.21,1.0
6.95,10.0,57.16,2.8,70.52,36.97,0.6,39.16,1.38,1.0
7.09,325.91,531.62,0.93,54.25,335.2,1.48,13.67,0.01,1.0
6.2,299.91,458.33,3.89,,302.27,0.69,75.75,0.43,1.0
7.43,280.7,424.82,3.44,75.6,285.65,0.31,55.35,0.45,1.0
8.03,308.67,425.67,,79.17,241.75,5.41,,0.78,1.0
6.91,139.79,297.55,3.17,0.42,182.63,0.97,68.1,1.52,1.0
6.75,45.7,120.55,1.42,3.14,73.26,1.04,21.46,0.22,
8.61,283.87,315.16,3.43,70.7,209.98,1.04,30.73,0.29,1.0
6.26,91.22,164.57,3.01,57.77,130.84,2.15,31.26,0.56,1.0
5.75,307.02,495.02,0.91,,306.33,0.2,19.27,1.71,
6.48,159.0,270.59,2.58,17.12,165.92,0.06,20.85,1.11,1.0
6.17,39.86,134.9,1.3,62.55,77.43,0.49,24.47,0.55,1.0
7.71,222.61,235.72,2.54,77.07,137.19,0.83,30.27,0.97,1.0
7.11,203.17,382.59,2.05,26.63,241.74,0.34,42.47,0.04,1.0
7.22,55.99,187.26,1.27,44.1,137.13,1.17,20.73,0.24,1.0
8.32,58.8,135.56,0.66,14.83,67.03,0.08,,0.01,1.0
6.85,109.16,348.74,2.23,102.96,235.24,1.56,42.59,0.1,1.0
8.02,176.83,348.99,2.46,56.98,192.81,1.27,50.6,0.5,1.0
8.61,70.76,198.61,1.84,23.29,117.87,0.24,14.86,1.08,1.0
7.04,154.35,205.79,1.23,3.75,127.18,0.35,10.36,0.5,1.0
7.99,174.18,346.41,1.52,,258.66,1.65,27.78,0.55,1.0
7.21,50.62,10.38,0.9,122.46,5.0,1.48,20.37,0.05,1.0
8.14,81.03,18.51,2.74,43.06,5.0,1.68,64.57,0.55,1.0
6.14,132.85,156.31,,34.02,61.62,0.39,8.91,0.3,1.0
5.06,143.62,257.31,2.95,41.47,167.93,3.49,68.28,0.53,
7.09,224.36,362.18,1.92,24.79,247.69,1.26,29.06,0.2,1.0
6.69,280.79,595.07,2.52,45.72,394.31,0.07,41.66,0.44,1.0
6.99,276.23,471.53,2.62,51.4,309.85,0.65,33.62,0.28,1.0
7.22,117.79,268.01,2.12,50.6,197.45,1.09,26.53,0.41,
7.98,212.43,296.2,1.61,,181.74,0.18,25.62,0.08,1.0
7.07,188.33,99.49,3.11,85.7,82.57,2.32,40.77,0.25,1.0
6.74,202.77,296.3,0.28,27.88,159.95,1.4,,0.23,1.0
