member_id;visit_date;age;gender;membership_type;workout_type;workout_duration_minutes;calories_burned;check_in_time;attendance_status
33;21.03.2024;35;Female;Annual;Strength Training;23;127;22:44:00;Present
34;17.03.2024;25;Male;Quarterly;CrossFit;36;208;20:18:00;Present
35;25.12.2024;41;Female;Monthly;CrossFit;59;584;17:28:00;Present
36;14.03.2024;30;Male;Monthly;Cardio;20;159;7:50:00;Absent
37;24.08.2024;28;Female;Annual;Strength Training;81;756;11:16:00;Absent
38;26.03.2024;35;Female;Annual;CrossFit;107;779;15:14:00;Present
39;21.05.2024;43;Female;Monthly;Strength Training;94;737;8:57:00;Present
40;25.05.2024;44;;Annual;Yoga;100;562;5:16:00;Present
41;27.04.2024;39;;Quarterly;HIIT;51;428;15:05:00;Present
42;01.10.2024;51;Male;Annual;HIIT;94;859;7:04:00;Present
43;26.11.2024;32;Female;Monthly;HIIT;61;412;8:43:00;Absent
44;22.03.2024;29;Male;Monthly;Cardio;81;-570;20:36:00;Absent
45;14.08.2024;28;Female;Quarterly;Yoga;26;208;14:20:00;Absent
46;01.07.2024;33;Male;Monthly;CrossFit;56;336;21:50:00;Absent
47;07.12.2024;65;;Quarterly;Yoga;92;524;19:24:00;Absent
48;18.10.2024;34;Female;Monthly;Cardio;63;546;18:26:00;Absent
49;02.07.2024;29;Male;Monthly;CrossFit;103;755;16:47:00;Present
50;04.12.2024;54;;Quarterly;Strength Training;99;746;16:19:00;Absent
51;11.08.2024;28;Male;Annual;Yoga;60;337;9:43:00;Present
52;22.11.2024;26;Male;Annual;CrossFit;42;346;5:27:00;Present
53;01.01.2024;46;Male;Quarterly;CrossFit;0;286;13:54:00;Absent
54;02.12.2024;30;Female;Annual;CrossFit;115;-1086;21:11:00;Absent
55;07.05.2024;21;Male;Annual;Cardio;53;483;15:03:00;Absent
56;02.03.2024;27;;Quarterly;Cardio;44;423;18:47:00;Present
57;12.06.2024;26;Male;Annual;Cardio;37;242;11:54:00;Present
58;12.11.2024;30;;Annual;Yoga;76;596;9:48:00;Absent
59;14.06.2024;27;Female;Monthly;HIIT;47;460;17:00:00;Absent
60;08.03.2024;43;;Annual;HIIT;57;318;19:47:00;Present
61;19.01.2024;53;Female;Annual;Yoga;120;751;20:44:00;Present
62;08.04.2024;26;;Monthly;Strength Training;113;-878;9:42:00;Present
63;10.10.2024;18;Female;Quarterly;Strength Training;22;142;22:58:00;Absent
64;04.09.2024;49;Male;Quarterly;HIIT;33;248;5:51:00;Absent
65;09.11.2024;33;;Quarterly;HIIT;37;251;10:56:00;Present
66;29.11.2024;39;Male;Quarterly;Cardio;83;683;22:12:00;Absent
67;17.07.2024;35;Female;Monthly;Cardio;25;172;5:44:00;Present
68;16.01.2024;32;;Quarterly;Yoga;42;243;10:34:00;Present
69;12.06.2024;40;Male;Quarterly;Cardio;54;515;20:05:00;Absent
70;18.01.2024;23;Male;Annual;CrossFit;0;304;7:12:00;Absent
71;23.06.2024;32;Female;Annual;Strength Training;92;715;7:12:00;Absent
72;26.12.2024;35;Male;Annual;Cardio;49;378;11:52:00;Absent
73;29.08.2024;23;Female;Quarterly;HIIT;26;233;17:42:00;Present
74;01.04.2024;27;Male;Quarterly;HIIT;58;561;19:50:00;Present
75;11.02.2024;29;Female;Quarterly;CrossFit;53;340;5:22:00;Absent
76;22.11.2024;31;Male;Quarterly;Strength Training;54;522;5:01:00;Absent
77;20.02.2024;23;;Annual;HIIT;84;476;22:34:00;Present
78;17.10.2024;50;Female;Annual;Cardio;80;549;21:01:00;Absent
79;10.05.2024;31;;Quarterly;Strength Training;45;265;21:09:00;Present
80;23.08.2024;33;;Annual;CrossFit;89;502;21:53:00;Present
81;17.12.2024;32;Male;Quarterly;Yoga;98;630;21:54:00;Present
82;03.06.2024;19;;Quarterly;Strength Training;43;228;6:52:00;Absent
83;17.10.2024;49;Male;Quarterly;CrossFit;20;148;8:30:00;Absent
84;26.05.2024;33;;Quarterly;Strength Training;108;605;22:52:00;Absent
85;23.01.2024;33;Female;Annual;Yoga;40;364;13:59:00;Present
86;10.02.2024;22;Female;Quarterly;Cardio;104;997;7:43:00;Present
87;04.03.2024;62;Female;Monthly;CrossFit;115;1098;16:18:00;Absent
88;14.12.2024;37;Male;Annual;HIIT;104;713;6:35:00;Absent
89;19.05.2024;30;Male;Quarterly;HIIT;37;194;15:22:00;Present
90;24.05.2024;22;Male;Quarterly;Cardio;41;342;10:41:00;Absent
91;04.04.2024;42;Male;Quarterly;Yoga;71;672;13:50:00;Absent
92;29.07.2024;48;;Annual;CrossFit;26;148;9:25:00;Present
93;15.04.2024;35;Female;Annual;Yoga;64;562;22:15:00;Present
94;09.08.2024;42;Male;Monthly;HIIT;114;937;22:33:00;Absent
95;05.11.2024;19;Male;Quarterly;CrossFit;110;865;16:19:00;Absent
96;10.02.2024;25;;Annual;Strength Training;101;778;10:39:00;Absent
97;30.08.2024;62;Female;Monthly;Yoga;110;585;22:57:00;Present
98;17.11.2024;61;;Monthly;Strength Training;98;721;12:34:00;Present
99;21.01.2024;34;Female;Annual;Yoga;49;465;10:14:00;Absent
100;22.10.2024;34;Female;Quarterly;CrossFit;69;369;18:31:00;Present
101;12.03.2024;37;Male;Annual;HIIT;108;856;9:04:00;Absent
102;27.02.2024;44;Male;Annual;CrossFit;48;459;7:03:00;Absent
103;10.03.2024;47;Female;Annual;Yoga;89;714;6:34:00;Present
104;04.09.2024;42;Male;Monthly;CrossFit;86;796;7:55:00;Present
105;13.06.2024;19;;Monthly;Strength Training;64;590;19:39:00;Absent
106;14.10.2024;40;Female;Annual;Strength Training;108;961;15:30:00;Present
107;04.03.2024;25;;Annual;HIIT;80;596;9:01:00;Absent
108;05.10.2024;36;;Quarterly;Cardio;73;623;10:45:00;Present
109;30.10.2024;51;Female;Annual;Cardio;28;236;10:08:00;Absent
110;08.05.2024;34;;Quarterly;CrossFit;25;138;14:03:00;Present
111;13.07.2024;36;Male;Quarterly;HIIT;62;429;18:40:00;Absent
112;24.10.2024;34;Female;Annual;HIIT;65;555;19:39:00;Present
113;23.10.2024;23;;Quarterly;HIIT;120;842;20:17:00;Present
114;31.12.2024;33;Male;Quarterly;Yoga;88;761;5:32:00;Absent
115;09.06.2024;48;;Annual;HIIT;27;203;12:15:00;Present
116;30.06.2024;41;;Quarterly;CrossFit;42;393;20:17:00;Absent
117;28.08.2024;18;;Quarterly;Cardio;31;193;9:26:00;Absent
118;25.12.2024;29;;Quarterly;Yoga;89;668;16:33:00;Present
119;06.02.2024;23;Female;Annual;HIIT;39;277;5:25:00;Absent
120;05.05.2024;31;Male;Monthly;Strength Training;69;591;9:23:00;Absent
121;11.04.2024;58;Male;Annual;Yoga;32;262;8:10:00;Present
122;19.11.2024;29;Female;Annual;Cardio;120;-1072;20:51:00;Absent
123;19.06.2024;51;Male;Quarterly;CrossFit;50;498;5:42:00;Absent
124;31.12.2024;30;Male;Annual;CrossFit;83;748;16:54:00;Present
125;28.12.2024;48;;Quarterly;HIIT;86;774;21:09:00;Present
126;17.10.2024;37;Male;Annual;Yoga;37;194;19:14:00;Absent
127;05.01.2024;30;Male;Annual;Strength Training;87;788;11:13:00;Absent
128;14.09.2024;55;;Annual;Yoga;28;266;14:38:00;Absent
129;20.12.2024;53;Male;Annual;Strength Training;53;415;15:30:00;Present
130;04.08.2024;55;;Quarterly;Cardio;103;756;5:33:00;Present
131;16.01.2024;35;Female;Annual;CrossFit;104;873;17:13:00;Absent
132;15.04.2024;35;Male;Quarterly;Cardio;88;828;6:25:00;Absent
133;12.09.2024;28;Male;Quarterly;HIIT;84;534;17:02:00;Present
134;04.08.2024;25;;Annual;Cardio;65;327;5:11:00;Absent
135;16.03.2024;55;;Quarterly;Cardio;44;341;16:15:00;Absent
136;27.02.2024;23;Male;Quarterly;Strength Training;113;934;14:09:00;Absent
137;18.03.2024;44;;Annual;Cardio;117;878;6:06:00;Present
138;05.07.2024;21;;Quarterly;Strength Training;98;578;7:43:00;Present
139;03.11.2024;35;Male;Annual;Cardio;0;214;20:37:00;Present
140;04.02.2024;32;Female;Annual;Yoga;63;466;10:46:00;Present
141;13.12.2024;26;Female;Annual;Cardio;67;440;13:38:00;Present
142;25.03.2024;24;Female;Annual;HIIT;82;816;9:38:00;Absent
143;20.04.2024;65;;Annual;Strength Training;80;403;7:40:00;Absent
144;28.01.2024;38;Female;Monthly;Yoga;48;476;10:24:00;Absent
145;11.07.2024;41;;Annual;Strength Training;27;155;16:55:00;Absent
146;11.01.2024;36;;Annual;Cardio;56;405;8:19:00;Present
147;24.10.2024;55;Female;Quarterly;Cardio;106;808;17:12:00;Present
148;17.08.2024;31;Male;Monthly;Yoga;109;793;6:26:00;Present
149;25.05.2024;23;Male;Monthly;Strength Training;83;-823;13:11:00;Absent
150;11.09.2024;42;;Quarterly;CrossFit;91;537;6:24:00;Present
151;13.01.2024;62;;Annual;Yoga;31;268;15:57:00;Absent
152;10.02.2024;20;;Quarterly;Strength Training;83;819;5:38:00;Present
153;17.10.2024;44;;Quarterly;CrossFit;65;472;17:58:00;Absent
154;08.01.2024;42;Male;Quarterly;CrossFit;66;469;10:50:00;Present
155;16.06.2024;35;Male;Annual;CrossFit;52;488;13:11:00;Absent
156;12.06.2024;26;;Annual;CrossFit;54;487;10:20:00;Present
157;10.10.2024;25;;Annual;Strength Training;63;341;6:46:00;Absent
158;24.05.2024;34;;Monthly;Strength Training;74;667;20:48:00;Absent
159;14.03.2024;37;Female;Annual;HIIT;59;367;20:38:00;Present
160;29.08.2024;47;;Monthly;HIIT;56;512;16:22:00;Absent
161;04.10.2024;18;Female;Annual;Strength Training;100;984;13:25:00;Absent
162;09.05.2024;36;Male;Monthly;CrossFit;80;553;17:39:00;Present
163;05.02.2024;41;Male;Annual;Yoga;111;1000;17:12:00;Absent
164;01.04.2024;44;Female;Quarterly;Cardio;113;645;15:36:00;Absent
165;24.02.2024;49;;Quarterly;CrossFit;59;299;8:57:00;Absent
166;27.02.2024;33;;Quarterly;Cardio;81;572;16:00:00;Present
167;17.03.2024;36;Female;Quarterly;Cardio;47;278;18:58:00;Present
168;29.12.2024;48;Male;Annual;HIIT;40;227;14:39:00;Present
169;19.03.2024;34;;Annual;CrossFit;39;299;15:27:00;Present
170;01.11.2024;37;Male;Quarterly;CrossFit;77;402;13:29:00;Absent
171;15.03.2024;37;Male;Quarterly;HIIT;92;809;12:17:00;Absent
172;06.12.2024;29;Male;Quarterly;Cardio;76;647;11:50:00;Absent
173;01.06.2024;53;Male;Annual;CrossFit;0;200;7:15:00;Absent
174;18.03.2024;39;;Monthly;HIIT;109;965;11:53:00;Present
175;12.12.2024;23;;Annual;Strength Training;82;560;14:27:00;Present
176;03.07.2024;34;;Annual;HIIT;31;246;5:42:00;Absent
177;06.12.2024;46;Female;Quarterly;Strength Training;107;821;16:27:00;Present
178;25.01.2024;37;;Annual;CrossFit;47;395;22:22:00;Absent
179;03.09.2024;41;;Monthly;Cardio;57;408;21:12:00;Present
180;06.07.2024;44;;Quarterly;Strength Training;48;348;18:39:00;Present
181;21.12.2024;34;;Quarterly;CrossFit;69;487;19:23:00;Present
182;17.03.2024;22;Female;Annual;Cardio;97;862;9:21:00;Present
183;26.05.2024;46;Male;Annual;Yoga;55;525;7:18:00;Absent
184;06.02.2024;48;Male;Annual;Cardio;118;775;17:42:00;Absent
185;30.10.2024;61;;Quarterly;Yoga;72;608;20:50:00;Present
186;05.06.2024;57;Male;Quarterly;Yoga;94;690;6:17:00;Absent
187;24.02.2024;35;;Quarterly;HIIT;0;611;17:40:00;Absent
188;05.03.2024;35;Female;Annual;HIIT;71;641;13:46:00;Absent
189;14.04.2024;40;Female;Quarterly;Strength Training;98;900;12:30:00;Absent
190;04.12.2024;49;Female;Monthly;Strength Training;109;780;11:36:00;Absent
191;18.03.2024;35;Female;Quarterly;Cardio;20;113;11:29:00;Absent
192;18.11.2024;31;Female;Annual;Yoga;31;247;13:27:00;Present
193;04.01.2024;51;Male;Annual;HIIT;73;456;18:31:00;Absent
194;17.08.2024;37;;Quarterly;Cardio;105;931;12:24:00;Present
195;09.01.2024;38;Male;Annual;Cardio;25;212;14:50:00;Present
196;31.01.2024;25;;Annual;CrossFit;102;944;8:55:00;Absent
197;16.04.2024;41;Female;Quarterly;Yoga;78;666;12:57:00;Absent
198;15.11.2024;30;Male;Quarterly;HIIT;33;206;10:45:00;Present
199;02.01.2024;22;;Monthly;HIIT;106;706;22:05:00;Present
200;10.09.2024;31;;Quarterly;HIIT;68;565;21:24:00;Absent
201;05.01.2024;56;Female;Quarterly;Strength Training;27;246;6:22:00;Absent
202;15.10.2024;53;Male;Annual;Cardio;72;591;11:22:00;Absent
203;14.03.2024;30;;Quarterly;CrossFit;52;486;10:01:00;Absent
204;12.07.2024;18;Male;Quarterly;Cardio;51;275;11:41:00;Absent
205;14.04.2024;19;Male;Annual;Strength Training;36;301;14:28:00;Present
206;22.02.2024;41;Female;Annual;CrossFit;74;398;19:03:00;Present
207;28.06.2024;46;Male;Annual;Cardio;64;474;10:09:00;Present
208;31.05.2024;37;Female;Quarterly;Strength Training;62;613;10:30:00;Present
209;21.08.2024;25;Male;Quarterly;Cardio;106;766;19:32:00;Absent
210;25.02.2024;40;Male;Annual;Cardio;120;614;15:58:00;Absent
211;12.01.2024;40;;Quarterly;Yoga;101;548;15:07:00;Present
212;25.08.2024;37;Female;Quarterly;HIIT;69;655;14:23:00;Absent
213;22.09.2024;61;Female;Quarterly;CrossFit;34;266;9:27:00;Present
214;25.11.2024;49;Female;Quarterly;Strength Training;98;769;17:20:00;Absent
215;30.11.2024;43;Female;Annual;Cardio;111;1025;21:15:00;Present
216;07.04.2024;44;Male;Annual;Cardio;70;540;14:34:00;Absent
217;26.08.2024;30;;Annual;Yoga;83;741;17:44:00;Absent
218;07.11.2024;34;Male;Annual;Strength Training;92;852;17:03:00;Present
219;21.12.2024;45;;Annual;CrossFit;58;368;17:22:00;Absent
220;21.10.2024;37;Male;Annual;HIIT;26;169;15:20:00;Present
221;20.05.2024;23;Female;Annual;Strength Training;59;466;9:17:00;Present
222;09.02.2024;21;Female;Annual;Strength Training;89;593;22:39:00;Present
223;23.12.2024;44;;Monthly;HIIT;0;608;14:51:00;Present
224;09.07.2024;26;Female;Quarterly;HIIT;23;227;22:05:00;Present
225;19.03.2024;54;Male;Quarterly;Yoga;116;816;22:37:00;Present
226;12.05.2024;42;Male;Quarterly;CrossFit;44;234;16:01:00;Absent
227;09.05.2024;33;Male;Quarterly;Strength Training;53;489;7:04:00;Present
228;04.03.2024;44;Male;Quarterly;CrossFit;29;205;7:21:00;Present
229;03.05.2024;33;;Annual;Yoga;47;235;16:19:00;Absent
230;14.05.2024;46;;Quarterly;Cardio;85;512;7:31:00;Absent
231;04.09.2024;33;;Quarterly;CrossFit;64;561;17:26:00;Absent
232;13.05.2024;20;Female;Annual;HIIT;45;404;12:57:00;Absent
233;07.08.2024;22;Male;Quarterly;HIIT;30;223;12:27:00;Absent
234;02.12.2024;34;;Annual;Cardio;0;248;11:51:00;Present
235;30.11.2024;44;Female;Quarterly;Strength Training;78;619;11:09:00;Present
236;22.12.2024;51;Female;Quarterly;Yoga;87;725;20:26:00;Absent
237;26.05.2024;35;Female;Annual;Yoga;117;959;11:35:00;Present
238;16.01.2024;33;Male;Quarterly;Cardio;69;600;15:31:00;Absent
239;07.01.2024;27;;Annual;Cardio;94;735;15:39:00;Present
240;23.02.2024;29;;Annual;CrossFit;48;437;10:40:00;Absent
241;03.04.2024;44;Male;Annual;Yoga;101;714;11:18:00;Present
242;25.07.2024;51;;Annual;Strength Training;105;-1067;5:35:00;Absent
243;12.10.2024;24;;Annual;Strength Training;112;654;16:57:00;Present
244;24.01.2024;39;;Annual;Strength Training;102;549;5:57:00;Absent
245;16.01.2024;24;;Annual;Strength Training;63;452;11:49:00;Absent
246;27.01.2024;45;Male;Annual;HIIT;36;328;5:12:00;Present
247;29.11.2024;32;Male;Quarterly;Strength Training;109;1040;19:58:00;Absent
248;14.04.2024;34;Male;Quarterly;CrossFit;27;204;18:27:00;Present
249;22.09.2024;47;Male;Annual;Yoga;65;428;12:41:00;Absent
250;06.02.2024;27;;Monthly;CrossFit;58;505;22:17:00;Absent
251;04.02.2024;20;;Quarterly;HIIT;68;465;21:12:00;Present
252;11.04.2024;40;;Annual;Yoga;77;2666;19:33:00;Absent
253;05.04.2024;26;Male;Annual;Strength Training;52;431;14:57:00;Present
254;26.06.2024;35;Male;Annual;Strength Training;40;362;10:13:00;Absent
255;25.06.2024;36;;Annual;Cardio;84;476;6:12:00;Absent
256;19.12.2024;18;Male;Quarterly;Cardio;112;733;6:38:00;Present
257;20.02.2024;61;Male;Annual;Yoga;108;785;12:31:00;Present
258;02.12.2024;34;Male;Quarterly;CrossFit;92;782;8:39:00;Present
259;08.04.2024;29;Female;Quarterly;Cardio;87;622;18:24:00;Present
260;23.12.2024;24;Female;Annual;Strength Training;80;512;21:10:00;Absent
261;08.02.2024;44;;Quarterly;Cardio;56;491;6:08:00;Absent
262;18.02.2024;28;Female;Annual;CrossFit;31;171;15:47:00;Absent
263;15.01.2024;34;Female;Quarterly;Yoga;44;396;14:12:00;Absent
264;30.08.2024;45;Male;Quarterly;Yoga;35;320;12:05:00;Present
265;09.07.2024;43;Female;Annual;Strength Training;75;639;17:48:00;Present
266;02.08.2024;60;;Monthly;Yoga;26;192;18:21:00;Present
267;09.10.2024;25;;Annual;Strength Training;78;500;15:38:00;Absent
268;26.06.2024;39;Female;Annual;CrossFit;31;164;22:28:00;Absent
269;25.03.2024;22;Male;Quarterly;Strength Training;70;378;13:14:00;Present
270;13.07.2024;46;Female;Annual;HIIT;32;272;13:18:00;Absent
271;06.08.2024;53;Male;Quarterly;Yoga;120;3056;12:00:00;Absent
272;19.11.2024;32;Female;Quarterly;Strength Training;35;210;21:41:00;Absent
273;05.12.2024;41;;Annual;HIIT;36;279;11:56:00;Absent
274;18.04.2024;36;;Quarterly;Cardio;85;499;12:55:00;Absent
275;05.03.2024;32;Female;Annual;HIIT;61;415;13:41:00;Absent
276;26.07.2024;26;Female;Monthly;Cardio;53;429;20:38:00;Present
277;04.02.2024;30;Female;Quarterly;HIIT;106;640;22:52:00;Present
278;19.04.2024;34;Female;Quarterly;Cardio;114;1087;8:38:00;Absent
279;08.11.2024;22;Female;Annual;HIIT;44;302;16:00:00;Absent
280;25.09.2024;28;Male;Quarterly;Yoga;34;201;12:40:00;Present
281;16.08.2024;29;Female;Quarterly;HIIT;88;618;19:08:00;Present
282;29.08.2024;24;;Annual;Cardio;32;310;13:27:00;Present
283;09.09.2024;31;Female;Quarterly;Cardio;50;366;14:26:00;Absent
284;30.08.2024;48;;Quarterly;CrossFit;89;848;20:00:00;Absent
285;15.05.2024;43;;Annual;Cardio;57;303;7:24:00;Absent
286;11.06.2024;41;Female;Annual;Cardio;98;931;16:39:00;Absent
287;13.04.2024;42;;Annual;Strength Training;114;939;5:36:00;Present
288;19.01.2024;52;;Annual;Cardio;29;177;14:50:00;Absent
289;28.06.2024;24;;Annual;Cardio;107;629;6:01:00;Absent
290;05.01.2024;24;Female;Monthly;HIIT;113;1049;7:49:00;Absent
291;22.04.2024;33;Male;Annual;Yoga;95;668;11:28:00;Present
292;23.08.2024;42;Female;Quarterly;Yoga;119;994;17:54:00;Present
293;12.10.2024;30;Male;Annual;Strength Training;97;876;21:35:00;Present
294;30.05.2024;37;Female;Quarterly;Cardio;89;655;13:23:00;Present
295;22.12.2024;29;Female;Annual;CrossFit;54;404;5:23:00;Present
296;17.10.2024;43;;Annual;Yoga;72;642;5:02:00;Present
297;23.08.2024;19;Female;Quarterly;CrossFit;94;588;9:11:00;Absent
298;22.03.2024;48;Male;Monthly;Yoga;116;871;14:57:00;Absent
299;10.09.2024;18;Female;Quarterly;Cardio;120;900;10:31:00;Absent
300;07.04.2024;44;;Annual;CrossFit;92;853;13:32:00;Present
301;27.09.2024;21;Male;Annual;CrossFit;42;283;22:14:00;Present
302;13.12.2024;20;Male;Quarterly;HIIT;23;226;10:23:00;Absent
303;19.10.2024;39;Male;Quarterly;CrossFit;92;797;13:33:00;Absent
304;11.04.2024;39;Male;Annual;Cardio;108;949;6:48:00;Absent
305;02.11.2024;45;;Annual;Cardio;46;396;8:09:00;Present
306;01.10.2024;25;Male;Monthly;Strength Training;104;941;11:11:00;Absent
307;09.04.2024;38;;Monthly;Yoga;83;481;5:58:00;Present
308;21.05.2024;31;Male;Quarterly;Strength Training;91;830;22:57:00;Present
309;19.07.2024;32;;Quarterly;Cardio;76;669;8:30:00;Present
310;09.06.2024;33;Female;Quarterly;Strength Training;46;380;12:44:00;Absent
311;01.08.2024;42;;Quarterly;CrossFit;120;964;22:42:00;Present
312;24.01.2024;37;;Quarterly;Cardio;54;441;17:00:00;Absent
313;01.12.2024;29;Female;Annual;HIIT;100;935;5:21:00;Present
314;30.03.2024;38;;Quarterly;Yoga;99;599;11:27:00;Absent
315;13.02.2024;29;Male;Monthly;CrossFit;79;535;19:03:00;Present
316;21.07.2024;34;;Quarterly;Cardio;75;422;22:21:00;Absent
317;07.01.2024;40;;Monthly;Yoga;74;528;12:43:00;Present
318;17.03.2024;54;Female;Annual;Yoga;120;797;18:31:00;Present
319;06.07.2024;37;Male;Annual;HIIT;33;226;12:39:00;Absent
320;14.05.2024;44;Female;Quarterly;Cardio;107;543;19:37:00;Absent
321;13.11.2024;48;Male;Annual;Yoga;98;494;7:07:00;Present
322;20.11.2024;29;;Quarterly;Strength Training;69;388;6:24:00;Absent
323;31.03.2024;33;Female;Quarterly;CrossFit;24;144;8:56:00;Absent
324;15.02.2024;34;Male;Annual;Strength Training;70;512;21:52:00;Present
325;18.06.2024;42;Male;Annual;HIIT;76;390;11:07:00;Present
326;22.04.2024;33;Male;Annual;Strength Training;35;198;21:54:00;Present
327;13.07.2024;59;Male;Quarterly;Yoga;31;305;9:53:00;Absent
328;25.06.2024;46;Male;Quarterly;CrossFit;90;551;7:48:00;Absent
329;26.07.2024;45;Female;Monthly;HIIT;51;453;14:58:00;Present
330;19.05.2024;43;;Annual;HIIT;47;340;5:44:00;Present
331;19.11.2024;37;;Quarterly;HIIT;62;315;22:33:00;Present
332;16.03.2024;46;Male;Quarterly;Yoga;64;609;13:29:00;Absent
333;17.06.2024;33;Female;Quarterly;CrossFit;92;599;14:54:00;Absent
334;16.09.2024;25;Male;Monthly;Cardio;24;168;8:41:00;Present
335;04.07.2024;35;Female;Annual;Cardio;80;755;14:04:00;Present
336;26.01.2024;33;;Annual;Cardio;29;210;10:34:00;Absent
337;01.01.2024;34;Female;Quarterly;CrossFit;118;760;5:28:00;Present
338;10.04.2024;38;Female;Annual;Cardio;116;1075;12:14:00;Present
339;08.10.2024;30;;Quarterly;CrossFit;36;285;9:34:00;Present
340;14.02.2024;28;Female;Quarterly;HIIT;100;750;15:38:00;Present
341;08.12.2024;23;Male;Quarterly;CrossFit;46;257;11:09:00;Absent
342;15.11.2024;36;Male;Quarterly;Yoga;37;327;15:34:00;Present
343;14.12.2024;31;Female;Monthly;Strength Training;48;354;21:09:00;Absent
344;22.05.2024;38;;Annual;CrossFit;119;1118;15:13:00;Absent
345;29.06.2024;24;Male;Annual;HIIT;20;180;13:36:00;Present
346;08.01.2024;39;Female;Quarterly;Cardio;118;813;12:44:00;Present
347;24.01.2024;34;Female;Quarterly;HIIT;104;814;17:55:00;Absent
348;17.04.2024;32;Male;Monthly;Strength Training;53;396;11:21:00;Absent
349;13.08.2024;32;Male;Quarterly;Cardio;84;756;6:51:00;Present
350;17.03.2024;45;;Annual;Yoga;83;750;7:21:00;Present
351;19.11.2024;37;Female;Monthly;Cardio;35;203;7:10:00;Present
352;11.10.2024;37;;Annual;CrossFit;79;448;15:58:00;Present
353;20.01.2024;18;;Quarterly;Cardio;25;201;18:19:00;Absent
354;28.10.2024;25;Male;Annual;Cardio;116;997;19:31:00;Present
355;12.08.2024;37;;Quarterly;Cardio;66;621;17:54:00;Present
356;22.02.2024;23;Male;Annual;Strength Training;73;605;13:44:00;Absent
357;27.02.2024;23;Female;Annual;Cardio;52;462;7:12:00;Absent
358;27.11.2024;46;;Annual;CrossFit;74;719;12:34:00;Absent
359;20.04.2024;35;Female;Annual;HIIT;48;332;13:08:00;Present
360;30.05.2024;26;Male;Quarterly;HIIT;31;192;21:19:00;Absent
361;31.08.2024;28;;Quarterly;Cardio;111;900;21:55:00;Present
362;18.09.2024;33;Male;Quarterly;Strength Training;56;504;14:12:00;Present
363;03.02.2024;35;Male;Monthly;Cardio;36;272;17:17:00;Present
364;04.05.2024;41;;Quarterly;HIIT;108;813;8:12:00;Present
365;20.09.2024;35;Male;Quarterly;Yoga;56;347;5:30:00;Present
366;20.01.2024;45;Male;Monthly;HIIT;80;611;18:32:00;Present
367;11.08.2024;40;Male;Monthly;Yoga;80;659;22:05:00;Present
368;26.06.2024;48;;Annual;HIIT;55;511;16:35:00;Absent
369;19.10.2024;30;Male;Monthly;CrossFit;92;642;19:37:00;Present
370;20.09.2024;27;Female;Monthly;Cardio;40;391;14:28:00;Present
371;26.04.2024;43;Female;Annual;Yoga;63;389;19:28:00;Present
372;06.09.2024;35;Female;Annual;Strength Training;55;424;9:40:00;Present
